date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:21	10932/10932	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Feb%202017%2014:04:21%20GMT	http://ukepengen.no/wp-content/themes/veckopengen/assets/styles/AjaxLoader.gif	ukepengen.no/wp-content/themes/veckopengen/assets/styles/AjaxLoader.gif	(from http://ukepengen.no/wp-content/themes/veckopengen/assets/styles/all.css)
15:04:22	12672/12672	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:22%20GMT	http://ukepengen.no/en/about-us/	ukepengen.no/en/about-us/index.html	(from http://ukepengen.no/en/home/)
15:04:22	11986/11986	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:22%20GMT	http://ukepengen.no/en/terms/	ukepengen.no/en/terms/index.html	(from http://ukepengen.no/en/home/)
15:04:23	15083/15083	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:22%20GMT	http://ukepengen.no/en/faq-2/	ukepengen.no/en/faq-2/index.html	(from http://ukepengen.no/en/home/)
15:04:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:04:23%20GMT	http://ukepengen.no/?p=62	ukepengen.no/index5c36.html	(from http://ukepengen.no/upplev-veckopengen/)
15:04:23	2233/2233	---MCZ	200	added ('OK')	application/json	date:Tue,%2014%20Feb%202017%2014:04:22%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fupplev-veckopengen%2F	ukepengen.no/wp-json/oembed/1.0/embed11a0.json	(from http://ukepengen.no/upplev-veckopengen/)
15:04:23	2330/2330	---MCZ	200	added ('OK')	text/xml	date:Tue,%2014%20Feb%202017%2014:04:23%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fupplev-veckopengen%2F&format=xml	ukepengen.no/wp-json/oembed/1.0/embedaadf	(from http://ukepengen.no/upplev-veckopengen/)
15:04:24	10564/10564	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222944-5308710e30e99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/5.svg	ukepengen.no/wp-content/themes/veckopengen/assets/images/5.svg	(from http://ukepengen.no/upplev-veckopengen/)
15:04:24	20984/20984	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2251f8-5308710e30e99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/7.svg	ukepengen.no/wp-content/themes/veckopengen/assets/images/7.svg	(from http://ukepengen.no/upplev-veckopengen/)
15:04:24	11455/11455	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222cbf-5308710e30e99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/9.svg	ukepengen.no/wp-content/themes/veckopengen/assets/images/9.svg	(from http://ukepengen.no/upplev-veckopengen/)
